Workload_Name,Category,Aspect,M,N,K,Strategy,L3_Size_MB,Overfetch_Total,Overfetch_A,Overfetch_B,Overfetch_C,L3_Hit_Rate,L3_Utilization,DRAM_Reads_MB,Num_Evictions,Tensor_A_MB,Tensor_B_MB,Tensor_C_MB,Total_Tensor_MB
Tall: Batch Projection,Projection,Tall,16384,512,512,WS,256,1.02075,1.03629,1.03125,1.00488,0.893486,0.259174,66,0,32,1,32,65
Tall: Batch Projection,Projection,Tall,16384,512,512,WS,1024,1.02075,1.03629,1.03125,1.00488,0.893486,0.0647936,66,0,32,1,32,65
Tall: Batch Projection,Projection,Tall,16384,512,512,IS,1,4.59195,8.29028,1.03125,1.00488,0.475007,0.996094,298,14151,32,1,32,65
Tall: Batch Projection,Projection,Tall,16384,512,512,IS,2,4.59195,8.29028,1.03125,1.00488,0.475007,0.999512,298,14103,32,1,32,65
Tall: Batch Projection,Projection,Tall,16384,512,512,IS,4,1.3454,1.69574,1.03125,1.00488,0.855442,1,87,3712,32,1,32,65
Tall: Batch Projection,Projection,Tall,16384,512,512,IS,16,1.02075,1.03629,1.03125,1.00488,0.893486,1,66,2084,32,1,32,65
Tall: Batch Projection,Projection,Tall,16384,512,512,IS,64,1.02075,1.03629,1.03125,1.00488,0.893486,0.999954,66,86,32,1,32,65
Tall: Batch Projection,Projection,Tall,16384,512,512,IS,256,1.02075,1.03629,1.03125,1.00488,0.893486,0.259174,66,0,32,1,32,65
Tall: Batch Projection,Projection,Tall,16384,512,512,IS,1024,1.02075,1.03629,1.03125,1.00488,0.893486,0.0647936,66,0,32,1,32,65
Tall: Batch Projection,Projection,Tall,16384,512,512,OS,1,3.33709,1.03629,151.594,1.00488,0.418478,1,216,15659,32,1,32,65
Tall: Batch Projection,Projection,Tall,16384,512,512,OS,2,1.02075,1.03629,1.03125,1.00488,0.893486,0.997559,66,2752,32,1,32,65
Tall: Batch Projection,Projection,Tall,16384,512,512,OS,4,1.02075,1.03629,1.03125,1.00488,0.893486,0.999512,66,2666,32,1,32,65
Tall: Batch Projection,Projection,Tall,16384,512,512,OS,16,1.02075,1.03629,1.03125,1.00488,0.893486,0.999695,66,2153,32,1,32,65
Tall: Batch Projection,Projection,Tall,16384,512,512,OS,64,1.02075,1.03629,1.03125,1.00488,0.893486,0.999954,66,100,32,1,32,65
Tall: Batch Projection,Projection,Tall,16384,512,512,OS,256,1.02075,1.03629,1.03125,1.00488,0.893486,0.259174,66,0,32,1,32,65
Tall: Batch Projection,Projection,Tall,16384,512,512,OS,1024,1.02075,1.03629,1.03125,1.00488,0.893486,0.0647936,66,0,32,1,32,65
Tall: Extreme Batch,Projection,Tall,65536,256,256,WS,1,1.06418,1.12665,1.125,1.00146,0.806905,1,136,5834,64,0,64,128
Tall: Extreme Batch,Projection,Tall,65536,256,256,WS,2,1.06418,1.12665,1.125,1.00146,0.806905,1,136,5785,64,0,64,128
Tall: Extreme Batch,Projection,Tall,65536,256,256,WS,4,1.06418,1.12665,1.125,1.00146,0.806905,0.999756,136,5688,64,0,64,128
Tall: Extreme Batch,Projection,Tall,65536,256,256,WS,16,1.06418,1.12665,1.125,1.00146,0.806905,1,136,5101,64,0,64,128
Tall: Extreme Batch,Projection,Tall,65536,256,256,WS,64,1.06418,1.12665,1.125,1.00146,0.806905,1,136,2791,64,0,64,128
Tall: Extreme Batch,Projection,Tall,65536,256,256,WS,256,1.06418,1.12665,1.125,1.00146,0.806905,0.533127,136,0,64,0,64,128
Tall: Extreme Batch,Projection,Tall,65536,256,256,WS,1024,1.06418,1.12665,1.125,1.00146,0.806905,0.133282,136,0,64,0,64,128
Tall: Extreme Batch,Projection,Tall,65536,256,256,IS,1,2.75085,4.50659,1.125,1.00146,0.460751,0.996094,352,16383,64,0,64,128
Tall: Extreme Batch,Projection,Tall,65536,256,256,IS,2,2.75085,4.50659,1.125,1.00146,0.460751,0.999512,352,16335,64,0,64,128
Tall: Extreme Batch,Projection,Tall,65536,256,256,IS,4,2.75085,4.50659,1.125,1.00146,0.460751,0.998779,352,16237,64,0,64,128
Tall: Extreme Batch,Projection,Tall,65536,256,256,IS,16,1.34529,1.68997,1.125,1.00146,0.749212,1,172,6860,64,0,64,128
Tall: Extreme Batch,Projection,Tall,65536,256,256,IS,64,1.06418,1.12665,1.125,1.00146,0.806905,1,136,2780,64,0,64,128
Tall: Extreme Batch,Projection,Tall,65536,256,256,IS,256,1.06418,1.12665,1.125,1.00146,0.806905,0.533127,136,0,64,0,64,128
Tall: Extreme Batch,Projection,Tall,65536,256,256,IS,1024,1.06418,1.12665,1.125,1.00146,0.806905,0.133282,136,0,64,0,64,128
Tall: Extreme Batch,Projection,Tall,65536,256,256,OS,1,1.06418,1.12665,1.125,1.00146,0.806905,0.999023,136,5829,64,0,64,128
Tall: Extreme Batch,Projection,Tall,65536,256,256,OS,2,1.06418,1.12665,1.125,1.00146,0.806905,0.998535,136,5786,64,0,64,128
Tall: Extreme Batch,Projection,Tall,65536,256,256,OS,4,1.06418,1.12665,1.125,1.00146,0.806905,1,136,5700,64,0,64,128
Tall: Extreme Batch,Projection,Tall,65536,256,256,OS,16,1.06418,1.12665,1.125,1.00146,0.806905,0.998962,136,5184,64,0,64,128
Tall: Extreme Batch,Projection,Tall,65536,256,256,OS,64,1.06418,1.12665,1.125,1.00146,0.806905,0.999985,136,3119,64,0,64,128
Tall: Extreme Batch,Projection,Tall,65536,256,256,OS,256,1.06418,1.12665,1.125,1.00146,0.806905,0.533127,136,0,64,0,64,128
Tall: Extreme Batch,Projection,Tall,65536,256,256,OS,1024,1.06418,1.12665,1.125,1.00146,0.806905,0.133282,136,0,64,0,64,128
Wide: Vocab Projection,Projection,Wide,128,32768,4096,WS,1,7.86437,1.01172,8.10561,1.00146,0.49165,0.998047,4168,89347,2,512,16,530
Wide: Vocab Projection,Projection,Wide,128,32768,4096,WS,2,7.86437,1.01172,8.10561,1.00146,0.49165,0.998047,4168,89326,2,512,16,530
Wide: Vocab Projection,Projection,Wide,128,32768,4096,WS,4,7.86437,1.01172,8.10561,1.00146,0.49165,0.999756,4168,89284,2,512,16,530
Wide: Vocab Projection,Projection,Wide,128,32768,4096,WS,16,0.40648,1.01172,0.411411,0.173035,0.970973,0.999756,215,4761,2,512,16,530
Wide: Vocab Projection,Projection,Wide,128,32768,4096,WS,64,0.399528,1.01172,0.404215,0.173035,0.971411,0.999969,211,3620,2,512,16,530
Wide: Vocab Projection,Projection,Wide,128,32768,4096,WS,256,0.397632,0.509277,0.404215,0.173035,0.972247,0.823223,210,0,2,512,16,530
Wide: Vocab Projection,Projection,Wide,128,32768,4096,WS,1024,0.397632,0.509277,0.404215,0.173035,0.972247,0.205806,210,0,2,512,16,530
Wide: Vocab Projection,Projection,Wide,128,32768,4096,IS,1,1.01284,1.01172,1.0132,1.00146,0.923316,0.998047,536,13454,2,512,16,530
Wide: Vocab Projection,Projection,Wide,128,32768,4096,IS,2,0.987832,1.01172,1.0132,0.173035,0.934346,0.998047,523,11494,2,512,16,530
Wide: Vocab Projection,Projection,Wide,128,32768,4096,IS,4,0.987832,1.01172,1.0132,0.173035,0.934346,0.999756,523,11452,2,512,16,530
Wide: Vocab Projection,Projection,Wide,128,32768,4096,IS,16,0.399528,1.01172,0.404215,0.173035,0.971411,0.999756,211,4678,2,512,16,530
Wide: Vocab Projection,Projection,Wide,128,32768,4096,IS,64,0.399528,1.01172,0.404215,0.173035,0.971411,0.999969,211,3614,2,512,16,530
Wide: Vocab Projection,Projection,Wide,128,32768,4096,IS,256,0.397632,0.509277,0.404215,0.173035,0.972247,0.823223,210,0,2,512,16,530
Wide: Vocab Projection,Projection,Wide,128,32768,4096,IS,1024,0.397632,0.509277,0.404215,0.173035,0.972247,0.205806,210,0,2,512,16,530
Wide: Vocab Projection,Projection,Wide,128,32768,4096,OS,1,8.97917,296.434,8.10561,1.00146,0,0.998047,4758,175764,2,512,16,530
Wide: Vocab Projection,Projection,Wide,128,32768,4096,OS,2,8.97728,295.931,8.10561,1.00146,0.000836177,0.998047,4757,175581,2,512,16,530
Wide: Vocab Projection,Projection,Wide,128,32768,4096,OS,4,7.86248,0.509277,8.10561,1.00146,0.492486,0.999756,4167,89104,2,512,16,530
Wide: Vocab Projection,Projection,Wide,128,32768,4096,OS,16,7.86248,0.509277,8.10561,1.00146,0.492486,0.999756,4167,88849,2,512,16,530
Wide: Vocab Projection,Projection,Wide,128,32768,4096,OS,64,7.86248,0.509277,8.10561,1.00146,0.492486,0.999969,4167,87822,2,512,16,530
Wide: Vocab Projection,Projection,Wide,128,32768,4096,OS,256,0.397632,0.509277,0.404215,0.173035,0.972247,0.823223,210,0,2,512,16,530
Wide: Vocab Projection,Projection,Wide,128,32768,4096,OS,1024,0.397632,0.509277,0.404215,0.173035,0.972247,0.205806,210,0,2,512,16,530
Wide: Hidden→Vocab,Projection,Wide,256,50257,768,WS,1,4.77027,1.125,6.0037,1.12569,0.478931,0.996094,940,35057,0,147,49,196
Wide: Hidden→Vocab,Projection,Wide,256,50257,768,WS,2,4.77027,1.125,6.0037,1.12569,0.478931,0.999512,940,35021,0,147,49,196
Wide: Hidden→Vocab,Projection,Wide,256,50257,768,WS,4,4.77027,1.125,6.0037,1.12569,0.478931,0.998779,940,34948,0,147,49,196
Wide: Hidden→Vocab,Projection,Wide,256,50257,768,WS,16,0.772632,1.125,0.653149,1.12569,0.906711,1,152,5687,0,147,49,196
