Workload_Name,Category,Aspect,M,N,K,Strategy,L3_Size_MB,Overfetch_Total,Overfetch_A,Overfetch_B,Overfetch_C,L3_Hit_Rate,L3_Utilization,DRAM_Reads_MB,Num_Evictions,Tensor_A_MB,Tensor_B_MB,Tensor_C_MB
GPT-2 MLP,MLP,Deep,2048,1536,6144,WS,1,16.7982,1.01044,43.112,1.00781,0.482688,1,1612,75763,48,36,12
GPT-2 MLP,MLP,Deep,2048,1536,6144,WS,2,1.00717,1.01044,1.0026,1.00781,0.964181,1,96,5171,48,36,12
GPT-2 MLP,MLP,Deep,2048,1536,6144,WS,16,1.00717,1.01044,1.0026,1.00781,0.964181,1,96,4641,48,36,12
GPT-2 MLP,MLP,Deep,2048,1536,6144,WS,64,1.00717,1.01044,1.0026,1.00781,0.964181,1,96,2832,48,36,12
GPT-2 MLP,MLP,Deep,2048,1536,6144,WS,256,1.00717,1.01044,1.0026,1.00781,0.964181,0.377689,96,0,48,36,12
GPT-2 MLP,MLP,Deep,2048,1536,6144,IS,1,24.7524,48.501,1.0026,1.00781,0.481494,1,2376,75953,48,36,12
GPT-2 MLP,MLP,Deep,2048,1536,6144,IS,2,1.00717,1.01044,1.0026,1.00781,0.964181,1,96,5178,48,36,12
GPT-2 MLP,MLP,Deep,2048,1536,6144,IS,16,1.00717,1.01044,1.0026,1.00781,0.964181,1,96,4655,48,36,12
GPT-2 MLP,MLP,Deep,2048,1536,6144,IS,64,1.00717,1.01044,1.0026,1.00781,0.964181,1,96,2847,48,36,12
GPT-2 MLP,MLP,Deep,2048,1536,6144,IS,256,1.00717,1.01044,1.0026,1.00781,0.964181,0.377689,96,0,48,36,12
GPT-2 MLP,MLP,Deep,2048,1536,6144,OS,1,40.5435,48.501,43.112,1.00781,0,0.999023,3892,146507,48,36,12
GPT-2 MLP,MLP,Deep,2048,1536,6144,OS,2,16.7982,1.01044,43.112,1.00781,0.482688,0.999512,1612,75733,48,36,12
GPT-2 MLP,MLP,Deep,2048,1536,6144,OS,16,16.7982,1.01044,43.112,1.00781,0.482688,0.999939,1612,75068,48,36,12
GPT-2 MLP,MLP,Deep,2048,1536,6144,OS,64,1.00717,1.01044,1.0026,1.00781,0.964181,0.999939,96,1957,48,36,12
GPT-2 MLP,MLP,Deep,2048,1536,6144,OS,256,1.00717,1.01044,1.0026,1.00781,0.964181,0.377689,96,0,48,36,12
LLaMA-2 7B Attn,Attention,Square,4096,4096,4096,WS,1,22.1693,1.00781,64.5,1,0.48653,1,4256,182934,64,64,64
LLaMA-2 7B Attn,Attention,Square,4096,4096,4096,WS,2,1.4974,1.00781,2.48438,1,0.961746,1,287,13547,64,64,64
LLaMA-2 7B Attn,Attention,Square,4096,4096,4096,WS,16,1.00521,1.00781,1.00781,1,0.97306,1,193,8918,64,64,64
LLaMA-2 7B Attn,Attention,Square,4096,4096,4096,WS,64,1.00521,1.00781,1.00781,1,0.97306,1,193,6870,64,64,64
LLaMA-2 7B Attn,Attention,Square,4096,4096,4096,WS,256,1.00521,1.00781,1.00781,1,0.97306,0.753906,193,0,64,64,64
LLaMA-2 7B Attn,Attention,Square,4096,4096,4096,IS,1,22.1693,64.5,1.00781,1,0.48653,1,4256,182934,64,64,64
LLaMA-2 7B Attn,Attention,Square,4096,4096,4096,IS,2,1.4974,2.48438,1.00781,1,0.961746,1,287,13547,64,64,64
LLaMA-2 7B Attn,Attention,Square,4096,4096,4096,IS,16,1.00521,1.00781,1.00781,1,0.97306,1,193,8918,64,64,64
LLaMA-2 7B Attn,Attention,Square,4096,4096,4096,IS,64,1.00521,1.00781,1.00781,1,0.97306,1,193,6870,64,64,64
LLaMA-2 7B Attn,Attention,Square,4096,4096,4096,IS,256,1.00521,1.00781,1.00781,1,0.97306,0.753906,193,0,64,64,64
LLaMA-2 7B Attn,Attention,Square,4096,4096,4096,OS,1,43.3333,64.5,64.5,1,0,1,8320,356310,64,64,64
LLaMA-2 7B Attn,Attention,Square,4096,4096,4096,OS,2,43.3333,64.5,64.5,1,0,0.996094,8320,356267,64,64,64
LLaMA-2 7B Attn,Attention,Square,4096,4096,4096,OS,16,22.1693,1.00781,64.5,1,0.48653,1,4256,182289,64,64,64
LLaMA-2 7B Attn,Attention,Square,4096,4096,4096,OS,64,22.1693,1.00781,64.5,1,0.48653,1,4256,180225,64,64,64
LLaMA-2 7B Attn,Attention,Square,4096,4096,4096,OS,256,1.00521,1.00781,1.00781,1,0.97306,0.753906,193,0,64,64,64
User Example 32k×7k,Projection,Tall-Wide,32768,7168,7168,WS,1,34.5156,1.00195,341.578,0.859235,0.49458,1,68616,4355848,896,196,896
User Example 32k×7k,Projection,Tall-Wide,32768,7168,7168,WS,2,1.19574,1.00195,3.6199,0.859235,0.986475,1,2377,116438,896,196,896
User Example 32k×7k,Projection,Tall-Wide,32768,7168,7168,WS,16,0.895561,1.00195,0.575255,0.859235,0.990907,1,1780,77627,896,196,896
User Example 32k×7k,Projection,Tall-Wide,32768,7168,7168,WS,64,0.895561,1.00195,0.575255,0.859235,0.990907,1,1780,75470,896,196,896
User Example 32k×7k,Projection,Tall-Wide,32768,7168,7168,WS,256,0.895561,1.00195,0.575255,0.859235,0.990907,1,1780,66811,896,196,896
User Example 32k×7k,Projection,Tall-Wide,32768,7168,7168,IS,1,51.1276,112.219,1,1.00195,0.496322,1,101641,4340853,896,196,896
User Example 32k×7k,Projection,Tall-Wide,32768,7168,7168,IS,2,51.1276,112.219,1,1.00195,0.496322,1,101641,4340811,896,196,896
User Example 32k×7k,Projection,Tall-Wide,32768,7168,7168,IS,16,1.44758,1.99496,0.982382,1.00195,0.985277,1,2877,126173,896,196,896
User Example 32k×7k,Projection,Tall-Wide,32768,7168,7168,IS,64,0.960214,1.00195,0.578603,1.00195,0.990269,1,1908,80970,896,196,896
User Example 32k×7k,Projection,Tall-Wide,32768,7168,7168,IS,256,0.960026,1.00195,0.57669,1.00195,0.990272,1,1908,72306,896,196,896
User Example 32k×7k,Projection,Tall-Wide,32768,7168,7168,OS,1,84.683,112.076,342,1.00195,0.000633064,1,168349,8612893,896,196,896
User Example 32k×7k,Projection,Tall-Wide,32768,7168,7168,OS,2,84.683,112.076,342,1.00195,0.000633064,1,168349,8612842,896,196,896
User Example 32k×7k,Projection,Tall-Wide,32768,7168,7168,OS,16,34.5572,0.859235,342,1.00195,0.493966,1,68699,4360236,896,196,896
User Example 32k×7k,Projection,Tall-Wide,32768,7168,7168,OS,64,34.4928,0.859235,342,0.859235,0.494599,1,68571,4351721,896,196,896
User Example 32k×7k,Projection,Tall-Wide,32768,7168,7168,OS,256,0.831237,0.859235,0.575255,0.859235,0.99154,1,1652,59584,896,196,896
